STATUS,QUESTION,RESPONSE,TABLE,,,,
검토완료,최근 입사자 누구 있어?,"SELECT mm.email, ml.value, omr.org_code, 
(SELECT tmp.value FROM org_lang tmp WHERE tmp.org_code = omr.org_code AND tmp.type = 'T01' AND tmp.lang = {lang}) AS org_name, mm.ent_ymd 
FROM member_master AS mm
INNER JOIN member_lang AS ml
ON mm.mem_id = ml.mem_id AND ml.type = 'T01' AND ml.lang = {lang}
INNER JOIN org_member_rel AS omr 
ON ml.mem_id = omr.mem_id AND omr.priority = 1 AND omr.use_yn = 'Y' AND omr.del_yn = 'N'
WHERE mm.ent_ymd >= DATE_FORMAT(DATE_ADD(NOW(), INTERVAL -1 MONTH), '%Y%m%d')",member_master,member_lang,org_member_rel,,
검토완료,개발팀 소속 직원의 이름과 이메일을 알려줘.,"SELECT ml.value AS name, mm.email 
FROM org_lang AS ol
INNER JOIN org_member_rel AS omr
ON ol.org_code = omr.org_code 
INNER JOIN member_master AS mm 
ON mm.mem_id = omr.mem_id AND mm.del_yn = 'N' AND mm.status_code = 'CMM0010001' 
INNER JOIN member_lang AS ml 
ON ml.mem_id = mm.mem_id AND ml.type = 'T01' AND ml.lang = {lang}
WHERE ol.value = '개발팀' AND ol.type = 'T01' AND ol.lang = {lang}",member_master,member_lang,org_lang,org_member_rel,
검토완료,개발팀(org_code : OC001) 소속 직원의 이름과 이메일을 알려줘.,"SELECT ml.value AS name, mm.email 
FROM org_master AS om
INNER JOIN org_member_rel AS omr
ON om.org_code = omr.org_code 
INNER JOIN member_master AS mm 
ON mm.mem_id = omr.mem_id AND mm.del_yn = 'N' AND mm.status_code = 'CMM0010001' 
INNER JOIN member_lang AS ml 
ON ml.mem_id = mm.mem_id AND ml.type = 'T01' AND ml.lang = {lang}
WHERE om.org_code = 'OC001'",member_master,member_lang,org_member_rel,org_master,
검토완료,김민준의 직책이 뭐야?,"SELECT cm.code AS jc_code, cl.value AS jc_name
FROM member_lang AS ml 
INNER JOIN org_member_rel AS omr 
ON ml.mem_id = omr.mem_id AND omr.priority = 1 AND omr.use_yn = 'Y' 
INNER JOIN code_master AS cm
ON omr.jc_code = cm.code AND cm.grp_code = 'GMM002'
INNER JOIN code_lang AS cl 
ON cm.code = cl.code_lng_id AND cl.type = 'T01' AND cl.lang = {lang}
WHERE ml.value = '김민준' AND ml.type = 'T01' AND ml.lang = {lang}",member_lang,org_member_rel,code_master,code_lang,
검토완료,김민준(mem_id : MEM00001)의 직책이 뭐야?,"SELECT cm.code AS jc_code, cl.value AS jc_name 
FROM member_master AS mm 
INNER JOIN org_member_rel AS omr 
ON mm.mem_id = omr.mem_id AND omr.priority = 1 AND omr.use_yn = 'Y' 
INNER JOIN code_master AS cm
ON omr.jc_code = cm.code AND cm.grp_code = 'GMM002'
INNER JOIN code_lang AS cl 
ON cm.code = cl.code_lng_id AND cl.type = 'T01' AND cl.lang = {lang}
WHERE mm.mem_id = 'MEM00001'",member_master,org_member_rel,code_master,code_lang,
검토완료,박서준이 올린 결재 문서 중에 반려된 것들을 찾아줘.,"SELECT am.appr_id, am.title
FROM appr_master AS am
INNER JOIN member_lang AS ml
ON am.draft_mem_id = ml.mem_id AND ml.value = '박서준' AND ml.type = 'T01' AND ml.lang = {lang}
WHERE am.status_code IN ('CGV0010007', 'CGV0010008')
AND 
( 
EXISTS (
SELECT 1
FROM appr_proc AS ap
WHERE ap.appr_id = am.appr_id
AND ap.mem_id = {auth_mem_id}
)
OR
{ROLE_CODE} = 'ROLE_ADMIN'
)
ORDER BY am.date_created DESC 
LIMIT {offset}, {count}",appr_master,member_lang,appr_proc,,
검토완료,박서준(mem_id : MEM00002)이 올린 결재 문서 중에 반려된 것들을 찾아줘.,"SELECT am.appr_id, am.title
FROM appr_master AS am
INNER JOIN member_master AS mm
ON am.draft_mem_id = mm.mem_id AND mm.mem_id = 'MEM00002' 
WHERE am.status_code IN ('CGV0010007', 'CGV0010008')
AND 
( 
EXISTS (
SELECT 1
FROM appr_proc AS ap
WHERE ap.appr_id = am.appr_id
AND ap.mem_id = {auth_mem_id}
)
OR
{ROLE_CODE} = 'ROLE_ADMIN'
)
ORDER BY am.date_created DESC 
LIMIT {offset}, {count}",appr_master,member_master,appr_proc,,
검토완료,인사팀에 속한 모든 직원의 이름과 이메일 주소를 알려줘.,"SELECT ml.value AS name, mm.email 
FROM org_lang AS ol
INNER JOIN org_member_rel AS omr
ON ol.org_code = omr.org_code 
INNER JOIN member_master AS mm 
ON mm.mem_id = omr.mem_id AND mm.del_yn = 'N' AND mm.status_code = 'CMM0010001' 
INNER JOIN member_lang AS ml 
ON ml.mem_id = mm.mem_id AND ml.type = 'T01' AND ml.lang = {lang}
WHERE ol.value = '인사팀' AND ol.type = 'T01' AND ol.lang = {lang}",member_master,member_lang,org_lang,org_member_rel,
검토완료,인사팀(org_code : OC002)에 속한 모든 직원의 이름과 이메일 주소를 알려줘.,"SELECT ml.value AS name, mm.email 
FROM org_master AS om
INNER JOIN org_member_rel AS omr
ON om.org_code = omr.org_code 
INNER JOIN member_master AS mm 
ON mm.mem_id = omr.mem_id AND mm.del_yn = 'N' AND mm.status_code = 'CMM0010001' 
INNER JOIN member_lang AS ml 
ON ml.mem_id = mm.mem_id AND ml.type = 'T01' AND ml.lang = {lang}
WHERE om.org_code = 'OC002'",member_master,member_lang,org_member_rel,org_master,
검토완료,이서연이라는 직원의 직책은 뭐야?,"SELECT cl.value AS jc_name
FROM member_lang AS ml 
INNER JOIN org_member_rel AS omr 
ON ml.mem_id = omr.mem_id AND omr.priority = 1 AND omr.use_yn = 'Y' 
INNER JOIN code_master AS cm
ON omr.jc_code = cm.code AND cm.grp_code = 'GMM002'
INNER JOIN code_lang AS cl 
ON cm.code = cl.code_lng_id AND cl.type = 'T01' AND cl.lang = {lang}
WHERE ml.value = '이서연' AND ml.type = 'T01' AND ml.lang = {lang}",member_lang,org_member_rel,code_master,code_lang,
